order_id,date_key,customer_id,product_id,geo_id,ship_mode,quantity,unit_price,discount,sales,profit,profit_margin,days_to_ship
ORD-04558,20210114,CUST-0271,PROD-039,GEO-002,Standard Class,1,801.07,0.2,640.86,226.4,35.33,6
ORD-03383,20210114,CUST-0140,PROD-034,GEO-005,Second Class,2,10194.62,0.0,20389.24,2813.72,13.8,4
ORD-04633,20210114,CUST-0284,PROD-022,GEO-001,First Class,1,21341.42,0.0,21341.42,3730.48,17.48,4
ORD-03326,20210114,CUST-0192,PROD-035,GEO-003,First Class,1,18531.81,0.0,18531.81,3068.87,16.56,3
ORD-02774,20210114,CUST-0280,PROD-004,GEO-009,Standard Class,3,2463.12,0.0,7389.36,3916.36,53.0,5
ORD-01850,20210115,CUST-0024,PROD-019,GEO-001,Standard Class,1,4704.5,0.05,4469.27,1309.58,29.3,6
ORD-02430,20210115,CUST-0093,PROD-012,GEO-018,Standard Class,5,1765.51,0.15,7503.42,3012.63,40.15,7
ORD-04416,20210115,CUST-0209,PROD-019,GEO-007,First Class,1,4679.55,0.25,3509.66,675.61,19.25,4
ORD-02495,20210115,CUST-0055,PROD-028,GEO-015,Second Class,1,2093.25,0.05,1988.59,760.04,38.22,4
ORD-04830,20210116,CUST-0107,PROD-010,GEO-009,First Class,1,3429.28,0.0,3429.28,1714.64,50.0,3
ORD-04095,20210116,CUST-0128,PROD-035,GEO-010,Standard Class,2,18616.73,0.0,37233.46,6702.02,18.0,6
ORD-01963,20210118,CUST-0213,PROD-022,GEO-014,Standard Class,2,21107.33,0.1,37993.19,6215.31,16.36,5
ORD-03724,20210119,CUST-0162,PROD-020,GEO-006,Standard Class,3,1259.36,0.1,3400.27,1533.52,45.1,7
ORD-03431,20210119,CUST-0036,PROD-017,GEO-005,Same Day,2,54001.73,0.0,108003.46,21859.9,20.24,2
ORD-00424,20210119,CUST-0156,PROD-010,GEO-004,Same Day,1,3460.8,0.0,3460.8,1591.97,46.0,1
ORD-02085,20210120,CUST-0108,PROD-036,GEO-018,Second Class,2,8155.01,0.25,12232.52,1850.17,15.13,3
ORD-02347,20210120,CUST-0268,PROD-049,GEO-015,Standard Class,3,2075.37,0.1,5603.5,2267.57,40.47,6
ORD-01536,20210120,CUST-0004,PROD-009,GEO-012,Standard Class,3,2552.3,0.15,6508.37,1895.69,29.13,5
ORD-03998,20210120,CUST-0252,PROD-009,GEO-015,First Class,1,2583.65,0.05,2454.47,891.2,36.31,3
ORD-00746,20210121,CUST-0053,PROD-010,GEO-014,First Class,1,3451.17,0.15,2933.49,1124.26,38.32,4
ORD-04329,20210121,CUST-0095,PROD-024,GEO-013,Standard Class,3,224.19,0.05,638.94,305.26,47.78,5
ORD-00060,20210121,CUST-0029,PROD-045,GEO-008,Standard Class,1,9063.83,0.0,9063.83,2537.87,28.0,5
ORD-04794,20210121,CUST-0115,PROD-032,GEO-005,Standard Class,2,4360.5,0.0,8721.0,2808.16,32.2,5
ORD-03113,20210122,CUST-0078,PROD-014,GEO-001,Standard Class,2,452.87,0.0,905.74,483.3,53.36,7
ORD-03306,20210122,CUST-0184,PROD-003,GEO-009,Standard Class,1,1809.0,0.0,1809.0,994.95,55.0,5
ORD-01928,20210122,CUST-0171,PROD-037,GEO-010,Standard Class,2,3279.75,0.25,4919.62,1136.43,23.1,5
ORD-01117,20210123,CUST-0274,PROD-038,GEO-005,Standard Class,1,1197.62,0.4,718.57,107.36,14.94,7
ORD-04297,20210124,CUST-0043,PROD-029,GEO-012,Standard Class,5,2864.24,0.3,10024.84,1452.6,14.49,5
ORD-02660,20210124,CUST-0159,PROD-045,GEO-011,Standard Class,1,9917.26,0.0,9917.26,2915.67,29.4,6
ORD-02080,20210126,CUST-0228,PROD-050,GEO-016,First Class,1,1776.73,0.15,1510.22,545.72,36.14,2
ORD-01076,20210127,CUST-0243,PROD-003,GEO-011,Standard Class,1,1741.66,0.15,1480.41,624.1,42.16,5
ORD-04172,20210127,CUST-0031,PROD-043,GEO-020,Standard Class,2,6196.87,0.4,7436.24,687.1,9.24,5
ORD-03285,20210129,CUST-0087,PROD-010,GEO-006,Standard Class,2,3582.45,0.2,5731.92,1834.21,32.0,5
ORD-01115,20210129,CUST-0156,PROD-019,GEO-004,Standard Class,2,4462.03,0.2,7139.25,1471.25,20.61,5
ORD-00958,20210129,CUST-0258,PROD-025,GEO-002,Standard Class,1,336.67,0.1,303.0,102.87,33.95,7
ORD-03645,20210130,CUST-0168,PROD-048,GEO-006,Standard Class,1,1472.01,0.3,1030.41,246.47,23.92,7
ORD-03258,20210130,CUST-0092,PROD-022,GEO-001,First Class,1,21701.74,0.0,21701.74,3793.46,17.48,2
ORD-02641,20210130,CUST-0083,PROD-003,GEO-014,Standard Class,1,1731.78,0.0,1731.78,1000.1,57.75,6
ORD-01026,20210130,CUST-0225,PROD-029,GEO-020,Standard Class,1,2860.48,0.15,2431.41,585.73,24.09,5
ORD-01343,20210131,CUST-0109,PROD-025,GEO-009,Standard Class,1,350.15,0.0,350.15,157.57,45.0,7
ORD-02216,20210131,CUST-0266,PROD-043,GEO-011,Standard Class,1,6304.58,0.0,6304.58,1985.94,31.5,5
ORD-04019,20210131,CUST-0026,PROD-017,GEO-013,Standard Class,1,52451.35,0.25,39338.51,4997.96,12.71,6
ORD-02418,20210201,CUST-0189,PROD-030,GEO-011,Standard Class,1,566.13,0.3,396.29,72.73,18.35,5
ORD-03348,20210201,CUST-0233,PROD-036,GEO-020,First Class,1,8070.21,0.35,5245.64,533.74,10.17,3
ORD-00664,20210201,CUST-0229,PROD-023,GEO-010,Standard Class,3,3676.55,0.2,8823.72,2032.99,23.04,6
ORD-02755,20210201,CUST-0224,PROD-042,GEO-016,Standard Class,1,1736.3,0.3,1215.41,246.0,20.24,7
ORD-04477,20210201,CUST-0132,PROD-036,GEO-017,First Class,3,7941.87,0.0,23825.61,6552.04,27.5,4
ORD-03914,20210202,CUST-0229,PROD-048,GEO-010,Second Class,2,1518.05,0.15,2580.68,979.63,37.96,5
ORD-01469,20210202,CUST-0223,PROD-012,GEO-015,Standard Class,1,1739.65,0.0,1739.65,913.31,52.5,6
ORD-01478,20210202,CUST-0035,PROD-021,GEO-015,Second Class,1,3308.11,0.05,3142.7,1051.0,33.44,4
ORD-00708,20210203,CUST-0235,PROD-014,GEO-020,Standard Class,1,458.27,0.3,320.79,94.15,29.35,7
ORD-01645,20210203,CUST-0191,PROD-010,GEO-015,Standard Class,1,3513.1,0.05,3337.44,1594.47,47.78,6
ORD-04266,20210203,CUST-0156,PROD-025,GEO-004,Standard Class,3,364.44,0.1,983.99,334.04,33.95,5
ORD-03346,20210203,CUST-0208,PROD-002,GEO-007,Standard Class,3,1473.73,0.15,3758.01,1152.21,30.66,5
ORD-03698,20210203,CUST-0075,PROD-034,GEO-013,Second Class,4,9933.38,0.35,25826.79,1505.06,5.83,4
ORD-01313,20210203,CUST-0130,PROD-011,GEO-012,Standard Class,4,1805.82,0.0,7223.28,3033.78,42.0,6
ORD-00826,20210203,CUST-0161,PROD-019,GEO-012,Standard Class,1,4633.88,0.0,4633.88,1702.95,36.75,7
ORD-01717,20210204,CUST-0092,PROD-012,GEO-001,Second Class,1,1855.88,0.05,1763.09,738.03,41.86,5
ORD-00562,20210204,CUST-0062,PROD-028,GEO-011,Standard Class,1,2123.79,0.1,1911.41,658.29,34.44,7
ORD-02869,20210204,CUST-0073,PROD-026,GEO-006,Standard Class,3,699.52,0.1,1888.7,805.34,42.64,7
ORD-03391,20210204,CUST-0286,PROD-043,GEO-007,Standard Class,1,6542.66,0.05,6215.53,1696.84,27.3,6
ORD-02310,20210205,CUST-0003,PROD-002,GEO-017,Standard Class,3,1571.03,0.05,4477.44,1882.41,42.04,7
ORD-01677,20210205,CUST-0074,PROD-013,GEO-015,Standard Class,1,177.06,0.1,159.35,75.46,47.35,5
ORD-02835,20210205,CUST-0109,PROD-006,GEO-009,First Class,1,2175.91,0.25,1631.93,359.02,22.0,4
ORD-01180,20210205,CUST-0037,PROD-022,GEO-009,Standard Class,3,21059.55,0.0,63178.65,12003.94,19.0,5
ORD-03892,20210206,CUST-0005,PROD-047,GEO-006,Standard Class,2,3435.31,0.15,5840.03,1278.97,21.9,7
ORD-01914,20210206,CUST-0060,PROD-012,GEO-013,Standard Class,1,1741.43,0.25,1306.07,377.13,28.88,5
ORD-02514,20210207,CUST-0257,PROD-046,GEO-009,Second Class,1,4574.34,0.1,4116.91,1519.14,36.9,5
ORD-02588,20210207,CUST-0057,PROD-017,GEO-020,First Class,2,57542.53,0.35,74805.29,6698.06,8.95,4
ORD-00550,20210207,CUST-0035,PROD-046,GEO-015,Second Class,1,4393.92,0.05,4174.22,1794.81,43.0,4
ORD-03178,20210207,CUST-0128,PROD-020,GEO-010,Second Class,4,1217.48,0.15,4139.43,1661.98,40.15,3
ORD-04444,20210207,CUST-0219,PROD-004,GEO-020,First Class,3,2568.08,0.0,7704.24,4491.58,58.3,3
ORD-03926,20210208,CUST-0188,PROD-031,GEO-016,Second Class,1,992.77,0.25,744.58,234.24,31.46,4
ORD-03462,20210208,CUST-0195,PROD-016,GEO-008,Standard Class,1,41766.42,0.05,39678.1,7221.41,18.2,7
ORD-01522,20210209,CUST-0067,PROD-017,GEO-016,Same Day,3,54957.19,0.05,156627.99,34492.61,22.02,0
ORD-03186,20210210,CUST-0011,PROD-019,GEO-003,Same Day,4,4645.18,0.0,18580.72,5982.99,32.2,2
ORD-02675,20210210,CUST-0050,PROD-041,GEO-013,Standard Class,1,26180.65,0.0,26180.65,5772.84,22.05,5
ORD-02266,20210210,CUST-0089,PROD-027,GEO-001,Standard Class,1,376.9,0.05,358.05,143.89,40.19,6
ORD-01149,20210211,CUST-0167,PROD-041,GEO-011,Second Class,1,25500.87,0.0,25500.87,5622.94,22.05,3
ORD-01033,20210211,CUST-0266,PROD-016,GEO-011,First Class,1,41020.54,0.05,38969.51,7447.07,19.11,4
ORD-03050,20210211,CUST-0068,PROD-045,GEO-018,Second Class,1,9793.28,0.0,9793.28,3016.33,30.8,4
ORD-01535,20210212,CUST-0081,PROD-021,GEO-008,Same Day,1,3205.2,0.25,2403.9,462.75,19.25,1
ORD-04792,20210212,CUST-0167,PROD-043,GEO-011,Second Class,1,6244.51,0.3,4371.16,633.38,14.49,5
ORD-03872,20210213,CUST-0254,PROD-049,GEO-017,Second Class,3,1994.14,0.25,4486.82,1275.82,28.43,5
ORD-03928,20210214,CUST-0049,PROD-038,GEO-003,Standard Class,3,1160.12,0.05,3306.34,1605.48,48.56,6
ORD-00140,20210214,CUST-0275,PROD-029,GEO-003,Standard Class,1,2784.88,0.3,1949.42,247.5,12.7,7
ORD-03571,20210214,CUST-0234,PROD-005,GEO-005,Second Class,1,3142.06,0.0,3142.06,1098.46,34.96,3
ORD-03068,20210214,CUST-0132,PROD-043,GEO-017,Standard Class,1,6664.14,0.2,5331.31,1125.97,21.12,7
ORD-04470,20210214,CUST-0288,PROD-009,GEO-017,Standard Class,1,2483.69,0.15,2111.14,644.19,30.51,7
ORD-00992,20210215,CUST-0056,PROD-019,GEO-008,Standard Class,2,4669.99,0.05,8872.98,2826.04,31.85,5
ORD-02846,20210215,CUST-0124,PROD-008,GEO-011,Standard Class,1,2189.47,0.2,1751.58,564.99,32.26,6
ORD-00379,20210215,CUST-0007,PROD-032,GEO-003,Standard Class,2,4324.95,0.1,7784.91,2055.53,26.4,7
ORD-02624,20210216,CUST-0105,PROD-019,GEO-001,Standard Class,4,4614.61,0.25,13843.83,2451.74,17.71,6
ORD-04926,20210216,CUST-0066,PROD-046,GEO-007,Standard Class,2,4383.04,0.1,7889.47,2911.21,36.9,7
ORD-03973,20210216,CUST-0166,PROD-050,GEO-020,Second Class,2,1776.03,0.2,2841.65,900.24,31.68,3
ORD-04382,20210216,CUST-0182,PROD-010,GEO-020,Standard Class,1,3507.98,0.1,3157.18,1423.88,45.1,7
ORD-01684,20210217,CUST-0068,PROD-010,GEO-018,First Class,2,3498.5,0.25,5247.75,1587.44,30.25,3
ORD-02874,20210217,CUST-0024,PROD-041,GEO-001,Standard Class,2,24725.49,0.15,42033.33,5928.21,14.1,7
ORD-03056,20210217,CUST-0237,PROD-020,GEO-006,Standard Class,2,1230.16,0.2,1968.26,692.83,35.2,6
ORD-01913,20210218,CUST-0274,PROD-037,GEO-005,First Class,4,3261.75,0.2,10437.6,2581.18,24.73,2
ORD-04342,20210218,CUST-0171,PROD-015,GEO-010,Standard Class,4,1544.97,0.1,5561.89,2052.34,36.9,6
ORD-02247,20210219,CUST-0088,PROD-016,GEO-005,Same Day,4,41550.43,0.0,166201.72,30581.11,18.4,2
ORD-00951,20210220,CUST-0039,PROD-007,GEO-006,Standard Class,1,645.86,0.0,645.86,258.34,40.0,7
ORD-01933,20210221,CUST-0271,PROD-015,GEO-002,Second Class,1,1498.77,0.1,1348.89,457.92,33.95,4
ORD-00252,20210221,CUST-0098,PROD-043,GEO-012,Standard Class,1,6760.02,0.2,5408.02,1090.26,20.16,6
ORD-01497,20210221,CUST-0229,PROD-035,GEO-010,Standard Class,3,18800.55,0.0,56401.65,10152.3,18.0,6
ORD-01691,20210221,CUST-0040,PROD-036,GEO-008,Second Class,1,8366.27,0.0,8366.27,2091.57,25.0,4
ORD-03951,20210222,CUST-0241,PROD-013,GEO-015,Standard Class,2,184.39,0.05,350.34,184.12,52.55,6
ORD-00672,20210224,CUST-0151,PROD-039,GEO-013,Standard Class,2,832.85,0.1,1499.13,774.45,51.66,6
ORD-01759,20210225,CUST-0137,PROD-022,GEO-005,Standard Class,1,22029.08,0.15,18724.72,2389.35,12.76,7
ORD-04201,20210225,CUST-0196,PROD-033,GEO-015,Standard Class,3,432.05,0.2,1036.92,320.53,30.91,6
ORD-04455,20210225,CUST-0207,PROD-014,GEO-007,Standard Class,2,440.05,0.15,748.08,316.74,42.34,5
ORD-03738,20210225,CUST-0132,PROD-050,GEO-017,Second Class,1,1727.5,0.05,1641.12,739.24,45.04,5
ORD-04191,20210226,CUST-0165,PROD-019,GEO-009,Second Class,1,4386.4,0.1,3947.76,1133.01,28.7,4
ORD-04222,20210226,CUST-0263,PROD-029,GEO-009,Same Day,2,2757.12,0.3,3859.97,532.68,13.8,2
ORD-02153,20210227,CUST-0052,PROD-035,GEO-009,Second Class,3,17160.13,0.2,41184.31,4744.43,11.52,5
ORD-01807,20210227,CUST-0158,PROD-040,GEO-006,Second Class,1,118.64,0.15,100.84,44.17,43.8,5
ORD-02278,20210227,CUST-0120,PROD-016,GEO-002,Standard Class,2,42644.65,0.05,81024.83,13566.8,16.74,7
ORD-02809,20210228,CUST-0296,PROD-017,GEO-008,Standard Class,1,57677.46,0.3,40374.22,4085.87,10.12,6
ORD-02152,20210228,CUST-0101,PROD-045,GEO-014,Standard Class,4,9706.76,0.0,38827.04,11415.15,29.4,5
ORD-04651,20210228,CUST-0151,PROD-039,GEO-013,First Class,1,776.73,0.0,776.73,489.34,63.0,4
ORD-01203,20210301,CUST-0162,PROD-039,GEO-006,Standard Class,2,782.2,0.0,1564.4,938.64,60.0,7
ORD-03714,20210302,CUST-0088,PROD-022,GEO-005,Standard Class,3,21862.44,0.0,65587.32,11464.66,17.48,7
ORD-02991,20210302,CUST-0170,PROD-039,GEO-003,Standard Class,1,811.3,0.15,689.6,277.88,40.3,5
ORD-01639,20210302,CUST-0101,PROD-019,GEO-014,First Class,1,4358.62,0.3,3051.03,515.78,16.91,2
ORD-04395,20210303,CUST-0209,PROD-039,GEO-007,First Class,2,834.53,0.3,1168.34,322.46,27.6,2
ORD-03419,20210303,CUST-0210,PROD-014,GEO-018,Second Class,3,445.86,0.2,1070.06,436.93,40.83,4
ORD-02420,20210303,CUST-0116,PROD-015,GEO-009,Standard Class,1,1459.56,0.1,1313.6,484.72,36.9,7
ORD-04574,20210304,CUST-0099,PROD-021,GEO-018,First Class,4,3240.55,0.0,12962.2,4990.45,38.5,4
ORD-01097,20210304,CUST-0095,PROD-046,GEO-013,Second Class,2,4282.61,0.0,8565.22,4047.07,47.25,3
ORD-03360,20210304,CUST-0152,PROD-045,GEO-018,First Class,1,9059.02,0.05,8606.07,2412.11,28.03,4
ORD-02037,20210304,CUST-0252,PROD-003,GEO-015,Standard Class,3,1718.9,0.0,5156.7,2977.99,57.75,6
ORD-03765,20210305,CUST-0252,PROD-016,GEO-015,Standard Class,1,43380.78,0.35,28197.51,2190.95,7.77,6
ORD-02599,20210305,CUST-0115,PROD-036,GEO-005,Standard Class,2,7859.08,0.0,15718.16,3615.18,23.0,5
ORD-03924,20210306,CUST-0215,PROD-010,GEO-012,First Class,1,3640.75,0.25,2730.56,788.44,28.87,2
ORD-02980,20210306,CUST-0299,PROD-030,GEO-010,Standard Class,4,582.49,0.0,2329.96,885.38,38.0,7
ORD-03181,20210306,CUST-0155,PROD-025,GEO-016,Second Class,1,367.33,0.35,238.76,43.72,18.31,3
ORD-04108,20210306,CUST-0062,PROD-048,GEO-011,Standard Class,1,1512.64,0.2,1210.11,422.86,34.94,5
ORD-01628,20210307,CUST-0063,PROD-012,GEO-008,Standard Class,1,1784.51,0.15,1516.83,553.64,36.5,6
ORD-00753,20210308,CUST-0072,PROD-022,GEO-006,Standard Class,3,22804.24,0.0,68412.72,12998.42,19.0,7
ORD-04683,20210308,CUST-0172,PROD-009,GEO-019,Standard Class,1,2548.61,0.1,2293.75,786.2,34.28,5
ORD-02101,20210308,CUST-0293,PROD-025,GEO-011,Standard Class,1,367.02,0.3,256.91,55.84,21.74,7
ORD-03810,20210308,CUST-0225,PROD-016,GEO-020,Second Class,2,44088.39,0.15,74950.26,12037.01,16.06,4
ORD-03976,20210308,CUST-0282,PROD-005,GEO-002,Standard Class,1,3099.1,0.05,2944.14,936.63,31.81,7
ORD-03255,20210308,CUST-0092,PROD-022,GEO-001,Standard Class,4,21132.41,0.15,71850.19,9168.37,12.76,6
ORD-03562,20210308,CUST-0193,PROD-034,GEO-014,Second Class,1,9659.46,0.05,9176.49,1315.22,14.33,4
ORD-03966,20210308,CUST-0152,PROD-003,GEO-018,Standard Class,1,1830.31,0.0,1830.31,1107.34,60.5,5
ORD-03586,20210309,CUST-0015,PROD-001,GEO-014,Standard Class,3,5350.49,0.2,12841.18,3279.12,25.54,6
ORD-03131,20210309,CUST-0251,PROD-034,GEO-020,Same Day,1,9651.18,0.05,9168.62,1376.67,15.02,1
ORD-01874,20210309,CUST-0169,PROD-016,GEO-016,Second Class,1,43187.14,0.15,36709.07,5895.47,16.06,4
ORD-04790,20210309,CUST-0188,PROD-012,GEO-016,Standard Class,3,1839.02,0.05,5241.21,2623.23,50.05,7
ORD-02921,20210310,CUST-0287,PROD-016,GEO-018,Standard Class,1,42905.03,0.0,42905.03,9439.11,22.0,6
ORD-01101,20210310,CUST-0028,PROD-019,GEO-012,Standard Class,1,4445.24,0.2,3556.19,836.42,23.52,6
ORD-04760,20210310,CUST-0096,PROD-012,GEO-015,Second Class,4,1753.26,0.0,7013.04,3681.85,52.5,5
ORD-02630,20210310,CUST-0194,PROD-037,GEO-006,First Class,2,3100.29,0.2,4960.46,1333.37,26.88,4
ORD-01276,20210310,CUST-0095,PROD-015,GEO-013,First Class,1,1504.14,0.1,1353.73,524.51,38.75,4
ORD-00632,20210310,CUST-0093,PROD-049,GEO-018,Standard Class,2,2029.73,0.15,3450.54,1302.27,37.74,6
ORD-00044,20210310,CUST-0286,PROD-039,GEO-007,Standard Class,3,772.03,0.35,1505.46,334.21,22.2,7
ORD-02212,20210311,CUST-0251,PROD-034,GEO-020,Standard Class,4,10089.78,0.15,34305.25,4132.06,12.04,5
ORD-01751,20210311,CUST-0299,PROD-010,GEO-010,First Class,1,3526.44,0.05,3350.12,1524.3,45.5,4
ORD-00128,20210311,CUST-0179,PROD-017,GEO-004,Standard Class,4,55420.84,0.0,221683.36,44868.71,20.24,6
ORD-02239,20210311,CUST-0237,PROD-022,GEO-006,Same Day,1,22101.25,0.2,17681.0,2150.01,12.16,0
ORD-01920,20210311,CUST-0097,PROD-038,GEO-004,Standard Class,2,1144.99,0.2,1831.98,625.63,34.15,5
ORD-02044,20210312,CUST-0093,PROD-001,GEO-018,Standard Class,2,5613.27,0.15,9542.56,2911.82,30.51,7
ORD-04624,20210312,CUST-0046,PROD-031,GEO-014,Second Class,4,955.85,0.1,3441.06,1540.63,44.77,4
ORD-03129,20210312,CUST-0087,PROD-017,GEO-006,Standard Class,2,53676.65,0.0,107353.3,23617.73,22.0,7
ORD-04527,20210312,CUST-0006,PROD-017,GEO-019,Second Class,3,55648.49,0.3,116861.83,13009.06,11.13,5
ORD-01986,20210313,CUST-0012,PROD-015,GEO-010,Standard Class,3,1464.26,0.0,4392.78,1976.75,45.0,7
ORD-02756,20210313,CUST-0079,PROD-044,GEO-014,Second Class,1,855.35,0.05,812.58,481.38,59.24,5
ORD-03742,20210313,CUST-0157,PROD-015,GEO-016,Standard Class,2,1446.43,0.0,2892.86,1431.97,49.5,7
ORD-02104,20210313,CUST-0050,PROD-005,GEO-013,Standard Class,2,3177.52,0.0,6355.04,2535.67,39.9,6
ORD-02258,20210313,CUST-0216,PROD-010,GEO-008,Second Class,1,3562.55,0.2,2850.04,912.01,32.0,3
ORD-02653,20210314,CUST-0172,PROD-039,GEO-019,Standard Class,2,792.37,0.1,1426.27,771.89,54.12,5
ORD-02052,20210315,CUST-0248,PROD-034,GEO-020,Standard Class,3,10471.3,0.05,29843.2,4480.96,15.02,6
ORD-04006,20210315,CUST-0232,PROD-042,GEO-007,Standard Class,3,1819.63,0.1,4913.0,1611.46,32.8,6
ORD-02847,20210315,CUST-0137,PROD-029,GEO-005,Standard Class,1,2876.74,0.1,2589.07,585.96,22.63,6
ORD-00633,20210316,CUST-0113,PROD-017,GEO-003,Standard Class,2,53236.46,0.1,95825.63,15903.98,16.6,6
ORD-04729,20210316,CUST-0210,PROD-006,GEO-018,Second Class,1,2098.04,0.0,2098.04,923.14,44.0,4
ORD-00566,20210316,CUST-0061,PROD-003,GEO-019,Second Class,1,1860.93,0.3,1302.65,362.53,27.83,4
ORD-00462,20210316,CUST-0203,PROD-042,GEO-018,Standard Class,1,1721.28,0.15,1463.09,469.94,32.12,7
ORD-00620,20210317,CUST-0255,PROD-033,GEO-011,Same Day,3,453.45,0.0,1360.35,657.05,48.3,1
ORD-01273,20210317,CUST-0075,PROD-037,GEO-013,Standard Class,1,3325.92,0.15,2827.03,910.11,32.19,6
ORD-01261,20210317,CUST-0199,PROD-045,GEO-017,Standard Class,1,9522.12,0.2,7617.7,1501.6,19.71,7
ORD-03728,20210317,CUST-0093,PROD-038,GEO-018,Second Class,4,1193.7,0.0,4774.8,3046.32,63.8,5
ORD-02343,20210317,CUST-0176,PROD-046,GEO-019,Same Day,4,4369.81,0.2,13983.39,4429.94,31.68,2
ORD-02633,20210318,CUST-0081,PROD-047,GEO-008,Same Day,1,3555.22,0.15,3021.94,661.8,21.9,0
ORD-02146,20210318,CUST-0184,PROD-016,GEO-009,Standard Class,1,39965.03,0.2,31972.02,4092.42,12.8,7
ORD-00486,20210319,CUST-0290,PROD-041,GEO-005,Standard Class,1,24960.19,0.0,24960.19,4822.31,19.32,5
ORD-04658,20210319,CUST-0214,PROD-012,GEO-015,Standard Class,4,1770.73,0.25,5312.19,1533.89,28.87,7
ORD-02076,20210320,CUST-0276,PROD-011,GEO-006,Second Class,2,1761.35,0.0,3522.7,1409.08,40.0,5
ORD-03302,20210321,CUST-0134,PROD-004,GEO-002,Same Day,4,2392.67,0.15,8135.08,2895.66,35.59,0
ORD-01738,20210321,CUST-0010,PROD-048,GEO-017,Second Class,4,1513.15,0.2,4842.08,1772.58,36.61,4
ORD-01177,20210321,CUST-0051,PROD-036,GEO-008,Second Class,1,7617.59,0.35,4951.43,458.01,9.25,5
ORD-01564,20210322,CUST-0066,PROD-015,GEO-007,Standard Class,1,1504.48,0.0,1504.48,677.02,45.0,7
ORD-03395,20210322,CUST-0207,PROD-014,GEO-007,Standard Class,2,438.65,0.05,833.44,439.89,52.78,7
ORD-04311,20210322,CUST-0146,PROD-047,GEO-020,Standard Class,2,3584.89,0.05,6811.29,2045.43,30.03,6
